Sage Cover Expiry Listing (Detail) From Expiry Date 01/01/2021 To 31/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,

No.,MyAppID No.,Expiry Date,,Acc Code,Licensee Name,Email,Contact No.,"Acc:1, Inv:2, 1Acc:5",Product Name,Total Users,Main License Price,CU Price,Total Price,,,,,,,,,,,,,
11,N420000570243,20-01-21,,30J1/I21,IMPI SOLUTION SDN BHD,sarudin.impisb@yahoo.com,60197508375,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
12,N420000270987,22-01-21,,300T/310,Teo Ping Hou,pinghou.aplus@gmail.com,60183773188,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
13,N370000004953,25-01-21,,300T/292,Black Ink Engineering Sdn Bhd,Laila.isa@blackink.com.my,60388617333,8,Sage Payroll 60 MY,3,450,80,610,,,,,,,,,,,,,
14,N370000062495,27-01-21,,300C/255,CQ-TEC (PJ) SDN BHD,zai6568@yahoo.com,60356215006,8,Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
15,N420000428861,28-01-21,,300A/378,Advance Tertiary College,jordean@atc2u.com,60320310266,1,Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
16,S44000361491,30-01-21,,301S/001,SJ ALQODWAH SDN BHD,hr3@sabaholdings.com.my,342512592,9,Sage Payroll 100 MY,1,550,0,550,,,,,,,,,,,,,
Expiry Date : February 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
17,N130000054587,04-02-21,,300Y/038,YIK KEE RESTAURANT (TTDI) SDN BHD,simonsw.chang@gmail.com,60377273240,8,Upg - Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
18,N080000989330,05-02-21,,300P/348,PERTUBUHAN KEBAJIKAN ANAK-ANAK YATIM ISLAM BATU PAHAT,masturarubiyaton@yahoo.com,6074324206,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
19,N420000048373,05-02-21,,300H/267,HADID ENGINEERING (M) SDN BHD,norsarinah@hadid.com.my,327259259,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
20,N420000048874,05-02-21,,300C/268,Cheng Sheh Wah,shehwah0502@hotmail.com,60166698137,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
21,N350000060312,06-02-21,,300P/395,Petrocom Services Sdn Bhd,ameer@petrocom.com.my,60378315148,6,Sage Payroll 15 MY,1,150,0,150,,,,,,,,,,,,,
22,N420000278097,06-02-21,,300P/373,Prisma Galeri Sdn Bhd,info@mitec.com.my,60362060100,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
23,N540000022643,06-02-21,,300M/344,MALAYSIAN STRUCTURAL STEEL ASSOCIATION,corporate@mssa.org.my,377343377,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
24,N080001053821,09-02-21,,300I/121,Idea Air Cond Engineering Sdn Bhd,ideaair2011@gmail.com,60178993969,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
25,N080001059581,09-02-21,,300T/043,TEMPO PROPERTIES SDN BHD,eliza@tempo.com.my,321611216,1,Upg - Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
26,N420000051954,09-02-21,,300G/188,GERBANG NUSAJAYA SDN BHD,norliza@d-group.com.my,75587176,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
27,N080001093317,10-02-21,,300I/118,Icon Builder,sywong1201@gmail.com,60126201540,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
28,N080001103293,10-02-21,,300Q/015,QSE CONSTRUCTION SDN BHD,qseconst@gmail.com,361566696,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
29,N080001103763,10-02-21,,300P/351,Prowara Holdings Sdn Bhd,beekimtan@gmail.com,60340246572,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
30,N080001118198,10-02-21,,300Y/038,YIK KEE RESTAURANT (GOHTONG JAYA) SDN BHD,tonyalee.chang@gmail.com,60361003240,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
31,N090000297536,10-02-21,,300G/008,GOLDEN PHOENIX HANDICRAFT SDN BHD,golden_phoenix3@yahoo.com,389640887,2,Upg - Sage UBS Inventory & Billing MY,3,400,80,560,,,,,,,,,,,,,
32,N080001150490,11-02-21,,300G/008,GOLDEN PHOENIX HANDICRAFT SDN BHD,golden_phoenix3@yahoo.com,389640887,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
33,N090000300868,11-02-21,,,GOLDEN ALUMINIUM SDN BHD,agnesybc@yahoo.com,38060,2,Upg - Sage UBS Inventory & Billing MY,1,400,0,400,,,,,,,,,,,,,
34,N420000578570,11-02-21,,300F/147,FAUZIAH BT NAWI,nawifauziah@yahoo.com,60172378458,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
35,N080001266390,15-02-21,,300S/559,SANG WAH AUTO CAR AIR CONDITIONER,sangwahsw@gmail.com,60129851575,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
36,N080001289246,16-02-21,,300Q/016,QS FOCUS SDN BHD,qsfocus@gmail.com,361566696,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
37,N080001310454,16-02-21,,300B/195,BROTHERS MARKETING ENTERPRISE SDN BHD,golden_phoenix3@yahoo.com,60389640887,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
38,N080001321714,16-02-21,,300I/122,IPRO96 SDN BHD,unknown31417@sage.my,361429796,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
39,N090000336157,17-02-21,,300I/122,IPRO96 SDN BHD,unknown31417@sage.my,361429796,2,Upg - Sage UBS Inventory & Billing MY,4,400,80,640,,,,,,,,,,,,,
40,N130000055310,17-02-21,,301J/006,JNR Lubuk Maidah Niaga Sdn Bhd,infoJNR@YMAIL.COM,60379879239,8,Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
41,N400000001294,19-02-21,,300S/371,COSHARE HOLDINGS BERHAD,hanif@cmasolutions.my,361429999,11,Upg - Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
42,N400000010231,19-02-21,,300Z/045,ZILLION CREATIONS SDN BHD,reazal.zillion@gmail.com,69727192,11,Upg - Sage Payroll Premium MY,3,650,80,810,,,,,,,,,,,,,
43,N080001343953,20-02-21,,300T/311,HT JAYA DEVELOPMENT (M) SDN BHD,azizah.htjaya@gmail.com,162073359,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
44,N080001346010,20-02-21,,300A/285,Asia Delight Tours & Travel Sdn Bhd,sales@asiadelight.com.my,60320263277,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
45,N400000048756,20-02-21,,300F/137,Fishbowl Ventures Sdn Bhd,chingjh@thefishbowl.my,60374965787,11,Sage Payroll Premium MY,4,650,80,890,,,,,,,,,,,,,
46,N420000584337,20-02-21,,300L/284,Low Lay Lee,lowlaylee@yahoo.com.sg,60137320324,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
47,N080001371691,22-02-21,,300H/017,HARESH ENTERPRISES SDN BHD,he123@streamyx.com,362502021,1,Upg - Sage UBS Accounting & Billing MY,6,400,80,800,,,,,,,,,,,,,
48,N130000037142,22-02-21,,,GRV (M) SDN BHD,muna.ismail@g-rv.com,6075900987,8,Sage Payroll 60 MY,3,450,80,610,,,,,,,,,,,,,
49,N400000049050,22-02-21,,300J/150,JAKEL TRADING SDN BHD,norshahila.hadi@jakel.my,326150777,11,Sage Payroll Premium MY,2,650,80,730,,,,,,,,,,,,,
50,N430000046840,22-02-21,,300K/260,KYY Apparel Sdn Bhd,cyaoxian@gmail.com,60146271238,2,Sage UBS Inventory & Billing MY,1,400,0,400,,,,,,,,,,,,,
51,N420000586425,23-02-21,,,Saodah Helme & Co.,firdaus.nf1441@gmail.com,60361275259,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
52,N080001476496,24-02-21,,300C/232,CCH BUILDERS SDN BHD,khoo@groupcch.com,60380766629,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
53,N360000099913,24-02-21,,30J1/T41,THE CRAFT DECOR SDN BHD,thecraftdecorsdnbhd@gmail.com,6075506811,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
54,N420000588169,24-02-21,,,MENARA PELANGI MANAGEMENT CORPORATION,omaimhreem@gmail.com,6000,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
55,N080001545851,26-02-21,,300G/178,GRAND WELLNESS NETWORK SDN BHD,nrazhaz.adiwana@gmail.com,6095362213,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
56,N080001545992,26-02-21,,300S/340,SINEO ENTERPRISE SDN BHD,sineohq@gmail.com,356310172,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
57,N090000362829,26-02-21,,300R/116,REKAHASIL SDN BHD,rkhasil@tm.net.my,378803633,2,Upg - Sage UBS Inventory & Billing MY,1,400,0,400,,,,,,,,,,,,,
58,N080001565730,27-02-21,,300D/125,Define Integration Sdn Bhd,finance@define.com.my,60392858177,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
59,N080001568820,27-02-21,,300D/124,Dzh Management Consultants Sdn Bhd,dzhconsultants@yahoo.com,60321447000,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
60,N370000077917,27-02-21,,300T/276,The Roof Homes Sdn Bhd,admin@theroofhomes.com.my,60379837798,8,Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
61,N380000053893,27-02-21,,300T/276,The Roof Homes Sdn Bhd,admin@theroofhomes.com.my,60379837798,9,Sage Payroll 100 MY,1,550,0,550,,,,,,,,,,,,,
62,N390000009914,27-02-21,,300P/397,Pann Cha (Malaysia) Sdn Bhd,support@pannteamalaysia.com,60379837798,10,Sage Payroll 150 MY,3,600,80,760,,,,,,,,,,,,,
63,N420000593077,27-02-21,,300T/276,The Roof Homes Sdn Bhd,admin@theroofhomes.com.my,60379837798,1,Sage UBS Accounting & Billing MY,6,400,80,800,,,,,,,,,,,,,
64,S09002694849,27-02-21,,300P/397,PROP CHAMP SERVICES,yeeman_got@hotmail.com,37983,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
Expiry Date : March 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
65,N080001580851,01-03-21,,300R/116,REKAHASIL SDN BHD,accounts@rekahasil.com.my,378803633,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
66,N110000005672,01-03-21,,300D/124,Dzh Management Consultants Sdn Bhd,dzhconsultants@yahoo.com,60321447000,6,Sage Payroll 15 MY,1,150,0,150,,,,,,,,,,,,,
67,N130000023066,01-03-21,,300E/022,EDEX TECHNOLOGY SDN BHD,kim@edex.com.my,377733908,8,Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
68,S09001974260,01-03-21,,300D/120,DOLPHIN ENGINEERING (M) SDN BHD,jasmyn_soo@dolphineng.com,380622289,1,Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
69,N080001610293,02-03-21,,300G/179,GREAT PEERS (M) SDN BHD,greatpeers@gmail.com,6074558211,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
70,N080001610382,02-03-21,,300B/063,BONUS TOURS & TRAVELS SDN BHD,accounts2@bonustours.net,320316600,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
71,N100000035429,02-03-21,,300S/437,FOONG KWAN TRADING,yuenshonglye@hotmail.com,320321168,3,Upg - Sage POS MY,1,200,0,200,,,,,,,,,,,,,
72,N420000594663,02-03-21,,300G/198,Grand Century Travel & Tours Sdn Bhd,yuetmae@grandcenturytravel.com.my,60380803155,1,Sage UBS Accounting & Billing MY,2,400,80,480,,,,,,,,,,,,,
73,N420000594993,02-03-21,,300W/163,Wanzar Group Sdn Bhd,wanzargroup@gmail.com,60351038677,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
74,S12000723689,02-03-21,,300D/120,DOLPHIN ENGINEERING (M) SDN BHD,jasmyn_soo@dolphineng.com,380622289,2,Sage UBS Inventory & Billing MY,10,400,80,"1,120.00",,,,,,,,,,,,,
75,N420000208569,03-03-21,,300E/245,Effective Trading Sdn Bhd,etsb.hq@gmail.com,6038060,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
76,N0800002377021,04-03-21,,300M/311,MALAYSIAN CHEMICAL ENGINEERING TECHNOLOGIES (M) SDN BHD,Junaidah.malchem@gmail.com,60162128352,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
77,N080001670179,04-03-21,,300M/388,MT GLOBAL TECHNOLOGIES SDN BHD,wahiza@mtglobal.com.my,389649661,1,Upg - Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
78,N080001677168,04-03-21,,300U/061,Ukay Builders Sdn bhd,angietkf@yahoo.com,6032072,1,Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
79,N080001696422,04-03-21,,300J/062,JAWALA CORPORATION SDN BHD,elsiechua@jawala.com.my,321419700,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
80,N420000289592,04-03-21,,300M/373,Malaysia Marine And Heavy Engineering Sdn Bhd,hafizal@mmhe.com.my,6072512111,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
81,N080001707815,05-03-21,,300T/297,TUNGLIP PRECISION INDUSTRY SDN BHD,account01@tunglip.com.my,74288441,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
82,N080001713677,05-03-21,,300E/194,ELITE ORGANIC SDN BHD,lim@eliteorganic.com.my,390572205,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
83,N090000402094,05-03-21,,300E/194,ELITE ORGANIC SDN BHD,lim@eliteorganic.com.my,390572205,2,Upg - Sage UBS Inventory & Billing MY,3,400,80,560,,,,,,,,,,,,,
84,N080002920677,06-03-21,,300O/074,Offshore-Avenue Sdn Bhd,maizatulaini@yahoo.com,60179785004,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
85,N150000035945,07-03-21,,300S/435,SEM MATIC SDN BHD,alice@semmatic.com.my,6078612949,11,Upg - Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
86,N360000081261,07-03-21,,300T/320,Technique Synergy Sdn Bhd,astiana@tradewindscorp.com,60378427201,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
87,N420000074849,07-03-21,,300W/094,WK MACHINERY SOLUTION,wkmachinery@gmail.com,389407882,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
88,N420000442952,07-03-21,,300T/320,Technique Synergy Sdn Bhd,astiana@tradewindscorp.com,60378427201,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
89,N650000001988,07-03-21,,300C/269,CV.Indra Sakti,adm.indrasakti@yahoo.com,6.06E+12,12,Sage UBS Accounting & Billing INTL,3,350,80,510,,,,,,,,,,,,,
90,S09000034667,07-03-21,,300I/065,INTERNATIONAL SHIPCARE SDN BHD,mei.ping@shipcare.com.my,128993700,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
91,S12000013031,07-03-21,,300I/065,INTERNATIONAL SHIPCARE SDN BHD,mei.ping@shipcare.com.my,128993700,2,Sage UBS Inventory & Billing MY,7,400,80,880,,,,,,,,,,,,,
92,N080001734623,08-03-21,,300S/417,SP WORLDWIDE SDN BHD,singha@spworldwide.com.my,60123941027,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
93,N080001739230,08-03-21,,300S/354,Sunrise Parade Sdn Bhd,vincies.chua@gmail.com,60390763888,1,Upg - Sage UBS Accounting & Billing MY,9,400,80,"1,040.00",,,,,,,,,,,,,
94,N080001758847,08-03-21,,300L/242,Leong Jinq Yng,jinqyngleong@gmail.com,60125583127,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
95,N420000294077,08-03-21,,300C/293,Chan Mei Kiew,mkiewnyx@gmail.com,60166771522,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
96,N080001761976,09-03-21,,300Y/004,YONG FONG THAI SDN. BERHAD,yetyeec@yahoo.com,320788100,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
97,N080001768276,09-03-21,,300M/347,MINDA KAPITAL SDN BHD,hhlow@arsa.com.my,6073886363,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
98,N080001786028,09-03-21,,300C/259,CTS OFFICE SYSTEM SDN BHD,sswong@ctsofficesystem.com.my,6073511111,1,Upg - Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
99,N080001786953,09-03-21,,300P/310,Providence Capital Sdn Bhd,graceteoh2318@gmail.com,60322828383,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
100,N090000418775,09-03-21,,300G/133,GORGEOUS TIMES SDN BHD,janettwt@hotmail.com,30,2,Sage UBS Inventory & Billing MY,1,400,0,400,,,,,,,,,,,,,
101,N090000419134,09-03-21,,300Y/004,YONG FONG THAI SDN. BERHAD,yetyeec@yahoo.com,320788100,2,Upg - Sage UBS Inventory & Billing MY,1,400,0,400,,,,,,,,,,,,,
102,N150000030099,10-03-21,,300G/180,GEB REALTY HOLDINGS SDN BHD,gebrealty@gmail.com,73349937,11,Upg - Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
103,N420000079038,10-03-21,,300T/250,The Lotus Family Hotel Sdn Bhd,umesh@lotusgroup.com.my,60379491881,1,Upg - Sage UBS Accounting & Billing MY,6,400,80,800,,,,,,,,,,,,,
104,N080001828627,11-03-21,,300M/304,MAGHFIRAH TRAVEL & TOURS SDN BHD,account@maghfirahtravel.com.my,60355243215,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
105,N080001836126,11-03-21,,300T/256,Tai Tack Trading,yetyeec@yahoo.com,60123316681,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
106,N080001841054,11-03-21,,300E/243,EPSONER F & B EQUIPMENT SDN BHD,epsoner@live.com,392007727,1,Upg - Sage UBS Accounting & Billing MY,2,400,80,480,,,,,,,,,,,,,
107,N080001842521,11-03-21,,300P/306,Perunding Haz Sdn Bhd,myperhaz@gmail.com,60378400008,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
108,N090000443530,11-03-21,,300H/017,HARESH ENTERPRISES SDN BHD,he123@streamyx.com,362502021,2,Upg - Sage UBS Inventory & Billing MY,6,400,80,800,,,,,,,,,,,,,
109,N090000445320,11-03-21,,300E/243,EPSONER F & B EQUIPMENT SDN BHD,epsoner@live.com,392007727,2,Upg - Sage UBS Inventory & Billing MY,2,400,80,480,,,,,,,,,,,,,
110,N360000100897,11-03-21,,300S/542,Skyzone Tours & Travel Sdn Bhd,admins@skyzonetours.com,60322038820,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
111,N360000100922,11-03-21,,300N/169,NAINIKIFLI SYNERGY ENTERPRISE,petronnilaiimpian@gmail.com,60193873373,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
112,N400000068497,11-03-21,,300T/321,The Lotus Properties (M) Sdn Bhd,shriraam.it@lotusdesaru.com,60379581881,11,Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
113,N420000295558,11-03-21,,300I/151,Iylia Huzaifah Zamri,iya_iyliahuzaifah@yahoo.com,60137948854,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
114,N420000601837,11-03-21,,300A/390,Auxilium Resources Sdn Bhd,alfredloo90@gmail.com,60163227582,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
115,N660000003458,11-03-21,,300A/379,ALAAN COMPANY PRIVATE LIMITED,management@alaanmv.com,960330906,13,Sage UBS Inventory & Billing INTL,3,350,80,510,,,,,,,,,,,,,
116,N080001852487,12-03-21,,300H/126,HULS TRANSMISSION SDN BHD,shida_arif@huls-transmission.com.my,389416077,1,Upg - Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
117,N420000445429,12-03-21,,300T/319,Thamarai Holdings Sdn Bhd,robert@lotusgroup.com.my,60172639468,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
118,N420000602718,12-03-21,,300C/303,Chiawin Travel & Tours Sdn Bhd,jason_pang@chiawin.com,60321410916,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
119,N420000602991,12-03-21,,300A/391,Ahmad Mustaqim Bin Mahmood,mustaqimmahmood@gmail.com,60134844660,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
120,N080001885315,13-03-21,,300T/089,T&G METAL INDUSTRIES SDN BHD,ang@tg-metal.com.my,331917241,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
121,N080001885776,13-03-21,,300S/421,Sepang Megah Sdn Bhd,nzhenyi@hotmail.com,60333438788,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
122,N080001886129,13-03-21,,300A/050,Arena TV & Filem Produksi Sdn Bhd,karyen@myarena.tv,60390756388,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
123,N370000041392,13-03-21,,300P/316,KOPERASI KAKITANGAN BANK PERTANIAN MALAYSIA BERHAD,syakirin@koopbpm.com.my,387332597,8,Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
124,S12001299757,13-03-21,,300C/237,CHEERFUL MARKETING SDN BHD,vivian.loh@cheerful.com.my,321419928,2,Sage UBS Inventory & Billing MY,7,400,80,880,,,,,,,,,,,,,
125,N080001915321,14-03-21,,300N/062,NEW MACHINERY PARTS SUPPLY SDN BHD,nmps66@gmail.com,98481728,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
126,N080001957058,14-03-21,,300K/211,Kitson Migration Advisory,quen@kitson.com.my,60327138333,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
127,N410000020588,14-03-21,,300T/322,Teras Prinsipal Sdn Bhd,terasprinsipal@gmail.com,60122822840,5,Sage UBS one Accounting & Billing MY,1,200,0,200,,,,,,,,,,,,,
128,N440000023944,14-03-21,,300J/076,JOINT MANAGEMENT BODY SELAYANG POINT,spjmb@outlook.com,60361279925,4,Sage BSM MY,1,"1,000.00",0,"1,000.00",,,,,,,,,,,,,
129,N080001396795,15-03-21,,300A/280,Ajwa Corporation Sdn Bhd,klinikajwa.74@gmail.com,60355106258,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
130,N130000024556,15-03-21,,,CK Bodyworks Sdn Bhd,ckbody1@yahoo.com,60123196698,8,Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
131,N080001978588,16-03-21,,300A/289,ATNETWORK ADVANCED TECHNOLOGY SDN BHD,miinling.wong@atnetwork.com.my,327702828,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
132,N090000471013,16-03-21,,300M/068,MPH GROUP PRINTING (M) SDN BHD,mok@mphprinting.com.my,379870966,2,Sage UBS Inventory & Billing MY,3,400,80,560,,,,,,,,,,,,,
133,N090000472862,16-03-21,,300P/037,PRIN-AD SDN BHD,prin.ad.sb@gmail.com,379815711,2,Sage UBS Inventory & Billing MY,1,400,0,400,,,,,,,,,,,,,
134,N090000474384,16-03-21,,300A/289,ATNETWORK ADVANCED TECHNOLOGY SDN BHD,miinling.wong@atnetwork.com.my,327702828,2,Upg - Sage UBS Inventory & Billing MY,3,400,80,560,,,,,,,,,,,,,
135,N420000604347,16-03-21,,300B/213,Bintang Maju Agri,teh.bintangmaju@gmail.com,6017317,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
136,N080001989391,17-03-21,,300C/245,C A E&C Sdn Bhd,jazerin@gmail.com,60362115115,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
137,N080001994150,17-03-21,,300M/361,Lotus Five Star AV (M) Sdn Bhd,dhanaletchumi@lotusfivestar.com,60379491805,1,Upg - Sage UBS Accounting & Billing MY,10,400,80,"1,120.00",,,,,,,,,,,,,
